Date,HLAvg,MA,Returns
2022-04-14 18:00:00,1.0826,1.0821874999999999,0.000600815740958721
2022-04-14 19:00:00,1.082925,1.0827624999999999,0.0005311901092591541
2022-04-14 20:00:00,1.0829,1.0829125,0.00013852494048277302
2022-04-14 21:15:00,1.0826500000000001,1.082775,-0.00012698046249485912
2022-04-14 22:00:00,1.0825,1.082575,-0.00018472764270782745
2022-04-14 23:00:00,1.08205,1.082275,-0.00027715546289150156
2022-04-15 00:00:00,1.08095,1.0815000000000001,-0.0007163406852750638
2022-04-15 01:00:00,1.0810499999999998,1.081,-0.0004624277539053651
2022-04-15 02:00:00,1.0804999999999998,1.0807749999999998,-0.00020816227480904378
2022-04-15 03:00:00,1.0800999999999998,1.0802999999999998,-0.00043959604146015876
2022-04-15 04:00:00,1.08045,1.0802749999999999,-2.3141987666325245e-05
2022-04-15 05:00:00,1.0806,1.080525,0.0002313957803735125
2022-04-15 06:00:00,1.080475,1.0805375000000002,1.156838360796274e-05
2022-04-15 07:00:00,1.0807,1.0805875,4.6272196202169685e-05
2022-04-15 08:00:00,1.0816750000000002,1.0811875,0.0005550994117395813
2022-04-15 09:00:00,1.08155,1.0816125,0.00039300906738537564
2022-04-15 10:00:00,1.0812,1.081375,-0.00021960367404301006
2022-04-15 11:00:00,1.0810499999999998,1.081125,-0.0002312138738625357
2022-04-15 12:00:00,1.08155,1.0813,0.00016185532481557393
2022-04-15 13:00:00,1.081,1.081275,-2.31205854142361e-05
2022-04-15 14:00:00,1.0808749999999998,1.0809374999999999,-0.00031218023458934964
2022-04-15 15:00:00,1.0808,1.0808375,-9.251656631362686e-05
2022-04-15 16:00:00,1.0808,1.0808,-3.4695919185056214e-05
2022-04-15 17:00:00,1.0808,1.0808,0.0
2022-04-15 18:00:00,1.0809250000000001,1.0808625,5.782586321180533e-05
2022-04-15 19:00:00,1.0809,1.0809125000000002,4.625828313213938e-05
2022-04-15 20:00:00,1.081075,1.0809875,6.938341276639948e-05
2022-04-13 21:15:00,1.08765,1.0843625000000001,0.0031172814861623716
2022-04-13 22:00:00,1.088925,1.0882874999999999,0.0036131031412448954
2022-04-13 23:00:00,1.089325,1.0891250000000001,0.0007692617189442317
2022-04-14 00:00:00,1.0891250000000001,1.089225,9.181261052663639e-05
2022-04-14 01:00:00,1.08955,1.0893375,0.00010327911189147441
2022-04-14 02:00:00,1.0905,1.090025,0.0006309184661159605
2022-04-14 03:00:00,1.090575,1.0905375,0.0004700622059095176
